regiao,estado,municipio,data,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos
Nordeste,PE,,2021-01-28,9557071.0,256977.0,1494,10279,28
Nordeste,SE,,2021-01-28,2298696.0,135385.0,829,2760,5
Nordeste,RN,,2021-01-28,3506853.0,138013.0,456,3263,4
Nordeste,BA,,2021-01-28,14873064.0,577707.0,3645,9987,35
Nordeste,CE,,2021-01-28,9132078.0,368281.0,1016,10432,30
Nordeste,PI,,2021-01-28,3273227.0,157469.0,594,3039,8
Nordeste,PB,,2021-01-28,4018127.0,188290.0,1044,4025,11
Nordeste,AL,,2021-01-28,3337357.0,116379.0,433,2719,9
Nordeste,BA,,2021-01-29,14873064.0,581880.0,4173,10021,34
Nordeste,PE,,2021-01-29,9557071.0,258725.0,1748,10304,25
Nordeste,AL,,2021-01-29,3337357.0,116773.0,394,2728,9
Nordeste,PB,,2021-01-29,4018127.0,189415.0,1125,4036,11
Nordeste,MA,,2021-01-29,7075181.0,207145.0,465,4678,9
Nordeste,RN,,2021-01-29,3506853.0,138812.0,799,3276,13
Nordeste,PI,,2021-01-29,3273227.0,157775.0,306,3045,6
Nordeste,SE,,2021-01-29,2298696.0,136280.0,895,2766,6
Nordeste,CE,,2021-01-29,9132078.0,369245.0,964,10449,17
Nordeste,PI,,2021-01-30,3273227.0,158584.0,809,3051,6
Nordeste,MA,,2021-01-30,7075181.0,207415.0,270,4688,10
Nordeste,SE,,2021-01-30,2298696.0,136799.0,519,2773,7
Nordeste,PE,,2021-01-30,9557071.0,260679.0,1954,10332,28
Nordeste,BA,,2021-01-30,14873064.0,585958.0,4078,10059,38
Nordeste,CE,,2021-01-30,9132078.0,370300.0,1055,10465,16
Nordeste,PB,,2021-01-30,4018127.0,190480.0,1065,4048,12
Nordeste,RN,,2021-01-30,3506853.0,140032.0,1220,3282,6
Nordeste,AL,,2021-01-30,3337357.0,117287.0,514,2737,9
Nordeste,AL,,2021-01-31,3337357.0,117768.0,481,2746,9
Nordeste,BA,,2021-01-31,14873064.0,588106.0,2148,10097,38
Nordeste,SE,,2021-01-31,2298696.0,137417.0,618,2778,5
Nordeste,PE,,2021-01-31,9557071.0,261300.0,621,10348,16
Nordeste,PI,,2021-01-31,3273227.0,159023.0,439,3058,7
Nordeste,CE,,2021-01-31,9132078.0,373417.0,3117,10476,11
Nordeste,PB,,2021-01-31,4018127.0,191584.0,1104,4056,8
Nordeste,MA,,2021-01-31,7075181.0,207488.0,73,4697,9
Nordeste,RN,,2021-01-31,3506853.0,140583.0,551,3285,3
Nordeste,PE,,2021-02-01,9557071.0,261745.0,445,10364,16
Nordeste,PI,,2021-02-01,3273227.0,159290.0,267,3065,7
Nordeste,PB,,2021-02-01,4018127.0,192598.0,1014,4068,12
Nordeste,CE,,2021-02-01,9132078.0,374856.0,1439,10477,1
Nordeste,BA,,2021-02-01,14873064.0,589234.0,1128,10136,39
Nordeste,RN,,2021-02-01,3506853.0,140704.0,121,3288,3
Nordeste,AL,,2021-02-01,3337357.0,118220.0,452,2754,8
Nordeste,MA,,2021-02-01,7075181.0,207649.0,161,4708,11
Nordeste,SE,,2021-02-01,2298696.0,138187.0,770,2786,8
Nordeste,BA,,2021-02-02,14873064.0,592770.0,3536,10176,40
Nordeste,AL,,2021-02-02,3337357.0,118741.0,521,2763,9
Nordeste,PB,,2021-02-02,4018127.0,193465.0,867,4082,14
Nordeste,MA,,2021-02-02,7075181.0,208198.0,549,4719,11
Nordeste,PI,,2021-02-02,3273227.0,159741.0,451,3072,7
Nordeste,CE,,2021-02-02,9132078.0,375024.0,168,10486,9
Nordeste,RN,,2021-02-02,3506853.0,141251.0,547,3300,12
Nordeste,PE,,2021-02-02,9557071.0,263722.0,1977,10387,23
Nordeste,SE,,2021-02-02,2298696.0,138611.0,424,2794,8
Nordeste,CE,,2021-02-03,9132078.0,378191.0,3167,10556,70
Nordeste,PE,,2021-02-03,9557071.0,265349.0,1627,10399,12
Nordeste,SE,,2021-02-03,2298696.0,139223.0,612,2801,7
Nordeste,BA,,2021-02-03,14873064.0,596140.0,3370,10216,40
Nordeste,PB,,2021-02-03,4018127.0,194519.0,1054,4096,14
Nordeste,PI,,2021-02-03,3273227.0,160252.0,511,3087,15
Nordeste,AL,,2021-02-03,3337357.0,119088.0,347,2771,8
Nordeste,MA,,2021-02-03,7075181.0,208724.0,526,4730,11
Nordeste,RN,,2021-02-03,3506853.0,141663.0,412,3312,12
Nordeste,AL,,2021-02-04,3337357.0,119458.0,370,2780,9
Nordeste,RN,,2021-02-04,3506853.0,142465.0,802,3320,8
Nordeste,PB,,2021-02-04,4018127.0,195482.0,963,4110,14
Nordeste,CE,,2021-02-04,9132078.0,378198.0,7,10556,0
Nordeste,PE,,2021-02-04,9557071.0,266999.0,1650,10430,31
Nordeste,MA,,2021-02-04,7075181.0,209085.0,361,4742,12
Nordeste,PI,,2021-02-04,3273227.0,160948.0,696,3092,5
